Id,titre,description,service,date
1,Panne serveur,Serveur web inaccessible depuis 2h,Informatique,2023-01-15
2,Fuite d'eau,Fuite dans le bureau 305,Maintenance,2023-02-20
3,Erreur logiciel,Application de gestion plante au démarrage,Informatique,2023-03-10
4,Climatisation HS,Climatisation en panne salle de réunion A,Maintenance,2023-04-05
5,Problème réseau,Connexion internet très lente,Informatique,2023-05-12
6,Imprimante bloquée,Bourrage papier imprimante étage 2,Informatique,2023-06-18
7,Panne électrique,Coupure secteur bâtiment B,Maintenance,2023-07-22
8,Bug application,Erreur 404 sur module commandes,Informatique,2023-08-30
9,Ascenseur bloqué,Ascenseur principal en panne,Maintenance,2023-09-14
10,Virus détecté,Malware sur plusieurs postes,Informatique,2023-10-08
11,Fuite gaz,Odeur de gaz dans l'atelier,Maintenance,2023-11-25
12,Crash système,Système ERP indisponible,Informatique,2023-12-03
13,Porte cassée,Porte d'entrée principale défectueuse,Maintenance,2024-01-17
14,Perte de données,Base de données corrompue,Informatique,2024-02-28
15,Chauffage défaillant,Pas de chauffage dans les bureaux,Maintenance,2024-03-11
16,Écran noir,Écran principal salle de contrôle HS,Informatique,2024-04-09
17,Infiltration eau,Plafond qui fuit bureau 412,Maintenance,2024-05-20
18,Lenteur réseau,Bande passante saturée,Informatique,2024-06-15
19,Alarme incendie,Déclenchement intempestif alarme,Maintenance,2024-07-07
20,Sauvegarde échouée,Backup nocturne n'a pas fonctionné,Informatique,2024-08-19
21,Ventilation bruyante,Bruit anormal système ventilation,Maintenance,2024-09-22
22,Mise à jour ratée,Échec mise à jour Windows serveurs,Informatique,2024-10-12
23,Éclairage défaillant,Néons grillés parking sous-sol,Maintenance,2024-11-04
24,Accès refusé,Impossible d'accéder au système RH,Informatique,2024-12-01
25,Fissure mur,Fissure apparue mur extérieur,Maintenance,2022-03-15
26,Base indisponible,Serveur MySQL ne répond pas,Informatique,2022-06-20
27,Fenêtre cassée,Vitre brisée salle de pause,Maintenance,2022-09-10
28,VPN ne fonctionne pas,Connexion VPN impossible pour télétravail,Informatique,2022-12-18
29,Porte coupe-feu,Mécanisme fermeture défectueux,Maintenance,2021-02-14
30,Ransomware,Attaque ransomware détectée,Informatique,2021-05-30
31,Toiture endommagée,Tuiles abîmées après tempête,Maintenance,2021-08-25
32,Corruption fichiers,Fichiers partagés corrompus,Informatique,2021-11-11
33,Système alarme,Centrale alarme défectueuse,Maintenance,2020-01-22
34,Migration échouée,Échec migration vers cloud,Informatique,2020-04-16
35,Parking inondé,Inondation parking niveau -2,Maintenance,2020-07-08
36,Certificat SSL expiré,Site web inaccessible certificat périmé,Informatique,2020-10-27
37,Ascenseur bruyant,Bruit métallique suspect ascenseur 3,Maintenance,2019-03-19
38,Attaque DDoS,Site web sous attaque DDoS,Informatique,2019-06-12
39,Toiture qui fuit,Infiltration eau de pluie,Maintenance,2019-09-05
40,Panne totale réseau,Routeur principal HS,Informatique,2019-12-20